tiempo_s,ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8
0.040500000000000001,-39521,-11080,12419,8590,9469,41446,9066,40911
0.041000000000000002,1433,8339,65671,32643,19734,46716,16590,27841
0.041500000000000002,41268,28496,103439,50741,28766,48085,24569,17795
0.042000000000000003,62605,38788,130248,61754,37559,55543,18730,14123
0.042500000000000003,63204,36831,122795,57651,32114,64899,10379,2896
0.042999999999999997,46851,30724,91264,47603,25769,60811,-1469,-9067
0.043499999999999997,26151,18711,50110,28741,20816,41849,-3906,-8311
0.043999999999999997,9858,9666,22813,9442,9261,21256,-10486,-19889
0.044499999999999998,-636,8257,3808,-2064,4214,8926,-15678,-34511
0.044999999999999998,-6162,5044,-10420,-5346,883,6168,-23136,-38659
0.045499999999999999,-9275,2156,-6716,-4167,3091,6635,-17237,-16916
0.045999999999999999,-4289,3174,-2318,426,10698,9956,-7152,-5899
0.0465,497,7184,3408,3390,7909,3404,5039,17471
0.047,1684,9687,3633,1640,7112,-7834,-904,13728
0.047500000000000001,798,11724,5034,1264,8056,-11636,-8839,12884
0.048000000000000001,-832,8026,9416,4353,10443,-10152,-12122,24739
0.048500000000000001,3943,8534,9081,-71,6260,-4684,-7536,26391
0.049000000000000002,4011,10986,5864,-15491,620,-5564,-16016,12076
0.049500000000000002,682,8790,-19331,-31986,-11779,-15434,-28694,-3018
0.050000000000000003,-5405,10395,-52787,-49779,-19771,-32256,-26519,14285
0.050500000000000003,-11419,4766,-75463,-60339,-23058,-41829,-28150,18235
0.050999999999999997,-26013,-6274,-61579,-51972,-20090,-27642,-22389,14018
0.051499999999999997,-33081,-18079,-25306,-27007,-12145,-1196,-5317,32185
0.051999999999999998,-23167,-16007,16614,-1037,2141,21657,23202,50485
0.052499999999999998,8141,10020,38028,23797,18191,23071,26215,36531
0.052999999999999999,28936,26331,60051,54721,32510,24300,28559,30719
0.053499999999999999,41334,25069,67069,77749,48153,32538,42606,56982
0.053999999999999999,34428,31763,38209,66646,47746,19413,38049,49323
0.0545,33338,38139,-4495,34036,35204,1128,15209,58656
0.055,29965,30048,-35594,1369,22704,-9407,-174,58428
0.055500000000000001,21243,20411,-31434,-18557,15974,-11080,174,30614
