tiempo,paquete_id,ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8
4.435,990284,-6123.183240715524,-3051.310523316255,5970.272846515257,2884.402883032307,-1634.9025751564177,2155.786598568001,1247.5739543112986,-1448.6399432386652
4.4355,990285,-8186.092277726188,-2020.3451882907225,1522.0783169819879,3456.2357967773096,1761.5624380148938,4255.401855243514,2662.442830029029,-3451.2837710298263
4.436,990286,-9478.561952158623,-454.6935286021462,841.1331209147679,2168.6180204544216,6061.397330109294,3190.1573752510612,3413.684793253269,-5741.735159222042
4.4365,990287,-6931.688802811402,3666.102969095041,2969.541700511513,492.82067871281834,10266.64741389546,-7128.133095147733,4033.485557542999,-7368.776421798696
4.437,990288,-195.49951725486062,10390.56328711484,492.86593558709865,338.08541051791326,13267.10119047355,-25827.39504405455,3724.656072595333,-2190.3773349793246
4.4375,990289,7005.643837041873,17960.285137664687,-14390.480544073649,-539.5474173962757,14361.951220657844,-40253.36800938175,2341.8238806278314,13513.691894859474
4.438,990290,11768.239619693475,24952.32693526643,-38995.8835139107,-7998.863704287367,13296.257632959976,-36596.819493870855,1213.2870314988759,32361.455492650173
4.4385,990291,14539.352963250534,30307.95512014671,-57640.263436951296,-24025.765430144078,9464.443777801898,-15016.952457973945,1164.5994635184106,41206.63000035174
4.439,990292,14348.947770389012,30230.11536584837,-53761.51042308994,-40463.87111903511,2298.432553603903,10757.522750884877,1200.277346010589,35390.085755388325
4.4395,990293,6275.227114366873,18164.400441532292,-25493.31744871376,-43642.987588577016,-6270.707217835508,27845.13589623774,-277.87178127691004,23400.120584266235
4.44,990294,-10717.337901678751,-6953.727497476655,11797.820466909006,-27896.82807764635,-11396.362745329163,32870.44497701089,-3844.35127208805,16140.342050299038
4.4405,990295,-26609.469393612195,-33262.83724927339,38660.93380616835,-3095.603581319807,-10019.053342667226,28276.646654846565,-8230.695461595325,14280.078567453023
4.441,990296,-28664.14521378511,-44308.81482997362,47250.31430733812,14598.63809003108,-5330.216025326423,18109.337339518574,-10349.026941668664,8693.91327386603
4.4415,990297,-16793.192006585,-37315.51795192049,44785.45970136655,19193.98518203281,-3647.2876357834466,8633.26257408582,-7691.9678561901455,-7164.7420070061125
4.442,990298,-3864.480282810233,-26346.156285512665,42494.53607133274,18494.10754660651,-6652.287272083093,6022.548438848673,-2069.953442698563,-28078.31477368335
4.4425,990299,114.61057617617189,-24013.512330028225,42869.59140714361,21336.97086131756,-9616.540205050085,9879.177456822625,938.0493438017002,-41508.34711018342
4.443,990300,-2251.400215073212,-26947.857241359758,39629.97674581839,26405.235175436028,-8272.522283547834,12951.109065264922,-1915.9155579849976,-39598.62568855351
4.4435,990301,-3432.7088053990046,-23953.617274355056,28547.20136968462,26288.36369453193,-4520.742067458461,9943.168051339373,-7510.445137014871,-25361.219831328504
4.444,990302,-1945.9620187849687,-12381.741766207795,13723.035636108169,18450.8432862871,-3105.4631178276777,3678.4828763831974,-10057.106031580739,-8362.088864377263
4.4445,990303,-1584.9748853317196,13.630830457452248,2193.8345372913354,7736.047585883687,-4752.72046231664,404.7643304915073,-7636.670163659294,3626.088227183678
4.445,990304,-3863.045303190078,6285.879797173044,-3679.424726990508,-299.6242006253997,-5878.231993752063,1879.7521944283158,-3567.137456708715,9121.831689665403
4.4455,990305,-6288.214343054712,6890.253519223054,-6242.789705320413,-4257.669003035383,-4512.935118962763,4915.652239680817,-1966.7519160333236,11462.454327502724
4.446,990306,-7027.745971400771,5269.095278919176,-7766.260067464402,-5222.503770169198,-2979.0273854987545,6790.807135153069,-3328.257004831698,14263.891785292577
4.4465,990307,-7169.85078241757,2332.8017183855995,-8332.338420621702,-4046.8901823080205,-3746.1514155704344,7737.436654082885,-4808.167059333891,18033.159487783134
4.447,990308,-7683.464813739265,-1978.6993744835877,-7398.568585983185,-1786.4728884670503,-5650.398701029342,8393.377912630096,-4166.254225461678,20270.480676534014
4.4475,990309,-7033.994704440365,-4823.952773978408,-5381.97706681441,-564.8960794430118,-5981.481445658916,7728.209465607735,-2147.3409903961883,18205.433595123563
4.448,990310,-3573.955558321537,-2448.5986395018735,-3701.7050778865805,-2062.1702645004843,-4138.789173234484,4646.923243877685,-503.5232133016516,11781.818682868925
4.4485,990311,1268.6688237356702,4090.166381983019,-3965.431068675989,-5560.698592136358,-1593.3220709978796,178.83120480139223,942.3579610044108,4639.427360285735
4.449,990312,4334.233771124644,8849.469514766948,-6614.953868860246,-8434.520382393514,104.34447846278817,-3324.5731128391435,3688.5586848675757,1397.4409148709492
4.4495,990313,4905.025189740571,8192.466326674823,-10055.356560614193,-8710.424491997746,207.80209965882568,-4954.875422910627,7469.646411738033,2945.7164477103233
4.45,990314,5600.221547440313,5428.934906399936,-12260.24018229415,-6814.182234801454,-794.1201824101809,-6262.031157615573,9495.788453191388,5605.628850089741
4.4505,990315,8525.19226525403,5951.527071798202,-13621.164522782412,-4580.249580296866,-1072.8875930696595,-8943.40912026427,7585.016327300926,6155.975152060051
4.451,990316,11786.345462896794,9627.447469608132,-16456.169756295196,-3087.5217920840623,701.3168364436497,-11887.661536201678,3394.428516146394,5921.814799485974
4.4515,990317,11085.542598136795,11265.365988145102,-20848.662794211607,-2338.73056053089,3248.146272364853,-11801.570720715983,1368.3880984949901,8021.521118316741
4.452,990318,4861.866537742089,8075.881270151167,-22958.550522804137,-2506.1152981799332,4019.261517459774,-7462.872047961429,4011.811896130199,11958.71664746226
4.4525,990319,-3116.1164082338437,3158.063812816381,-19123.06878476167,-3800.3543354246576,2678.2482059543026,-2055.505010934725,8868.529198426018,13390.203322158206
4.453,990320,-7253.920040926632,815.0198150373271,-10675.29974263219,-5103.592502637208,1457.5262691792914,196.45628994672188,10923.571644727768,9640.238267304923
4.4535,990321,-5795.897312605553,1503.6076351279435,-3323.891495815644,-4620.75886844912,1856.1898396962952,-1117.6477905805114,7789.9423999442915,3708.4555926823004
